subnum	congruent	cuepos	normalizedResp	response	rt	soa	targetorientation	targetpos
1	1	2	-12.4392155421	130.060784458	3.9843328836	-0.1	142.5	2
1	0	1	17.3055710923	39.8055710923	3.90087987129	0.4	22.5	2
1	1	1	-12.5737544933	54.9262455067	3.56777399498	-0.1	67.5	1
1	0	-1	89.8062050549	112.306205055	4.38406307698	0.1	22.5	1
1	0	1	2.20243022777	114.702430228	3.95104301875	0.4	112.5	2
1	1	1	11.5934920005	109.093492	2.81813550329	0.4	97.5	1
1	0	1	17.1768631703	114.67686317	3.7511022556	0.4	97.5	2
1	0	1	-0.657226587369	6.84277341263	3.31784922352	0.1	7.5	2
1	0	1	4.76477372789	12.2647737279	2.51823055183	0.4	7.5	2
1	1	1	-6.92077312751	120.579226872	3.20131259852	0.1	127.5	1
1	1	1	9.54540848889	47.0454084889	3.5511189056	-0.1	37.5	1
1	0	-1	77.2174409111	159.717440911	2.68480574283	-0.1	82.5	1
1	0	2	74.9505782317	127.450578232	3.00138484952	0.1	52.5	1
1	0	1	-0.790163192243	6.70983680776	3.0513221072	-0.1	7.5	2
1	1	1	3.1849124	10.6849124	3.8177022396	0.4	7.5	1
1	0	1	-44.3427734126	128.157226587	3.26800126206	0.1	172.5	2
1	1	2	-19.2456334253	33.2543665747	2.55153778806	0.1	52.5	2
1	1	2	8.73235066116	151.232350661	2.21822649698	0.1	142.5	2
1	0	2	-10.8407073465	56.6592926535	3.01799401783	0.1	67.5	1
1	0	1	-15.6301023542	36.8698976458	3.48452506783	-0.1	52.5	2
1	1	1	-34.8974377975	92.6025622025	2.7847255916	-0.1	127.5	1
1	0	1	0.196051722017	142.696051722	2.70152597498	0.1	142.5	2
1	1	2	1.90066066348	129.400660663	3.83432628698	0.4	127.5	2
1	1	2	8.01023740612	30.5102374061	2.68481506529	0.4	22.5	2
1	1	1	12.2636416907	139.763641691	2.91799537729	0.4	127.5	1
1	0	2	-2.70112364548	64.7988763545	1.8684383266	-0.1	67.5	1
1	0	1	-13.7538377374	53.7461622626	2.75144906906	0.1	67.5	2
1	1	2	3.08732131824	10.5873213182	3.43446319752	0.4	7.5	2
1	0	1	-9.04815769898	88.451842301	2.76810514452	0.1	97.5	2
1	0	2	55.8106308246	123.310630825	4.81734080198	0.4	67.5	1
1	1	1	18.809932474	101.309932474	3.08470460983	0.4	82.5	1
1	1	1	36.3150253413	13.8150253413	2.4848636576	-0.1	157.5	1
1	0	1	15.3749836511	37.8749836511	3.1845793486	-0.1	22.5	2
1	1	1	-17.8141001605	139.68589984	2.10163203783	0.1	157.5	1
1	1	2	26.5078045424	139.007804542	2.78480713683	0.4	112.5	2
1	1	1	1.74611274556	54.2461127456	2.28501702375	0.4	52.5	1
1	1	2	0.275684305955	37.775684306	4.43419591998	0.1	37.5	2
1	1	2	-8.77303002006	88.7269699799	2.86808750998	0.1	97.5	2
1	1	1	-1.15980825409	51.3401917459	3.5179884406	-0.1	52.5	1
1	0	2	-16.0691418798	126.43085812	2.36835217029	0.1	142.5	1
1	1	2	-10.3557219504	147.14427805	2.1850637456	-0.1	157.5	2
1	1	1	17.8590524881	10.3590524881	2.96800428898	0.1	172.5	1
1	1	2	-32.5079798014	34.9920201986	2.11839873106	0.4	67.5	2
1	0	2	-0.904689551032	21.595310449	2.3848598146	0.1	22.5	1
1	0	2	-33.4065079995	64.0934920005	3.2345839416	0.4	97.5	1
1	0	-1	42.595816787	35.095816787	4.2841789616	-0.1	172.5	1
1	1	1	74.4745079915	66.9745079915	2.7514511146	-0.1	172.5	1
1	1	1	-1.53551289875	140.964487101	2.2183964836	-0.1	142.5	1
1	0	1	20.4074086713	12.9074086713	3.0679347226	-0.1	172.5	2
1	0	1	-3.101294645	139.398705355	2.66813438783	0.4	142.5	2
1	0	-1	49.0601307942	11.5601307942	3.33454352798	-0.1	142.5	2
1	0	1	-88.8401917459	173.659808254	3.8510755766	0.4	82.5	2
1	1	2	7.75511870306	105.255118703	2.70142285345	0.1	97.5	2
1	0	1	10.7748879848	123.274887985	2.73471572809	-0.1	112.5	2
1	0	2	-38.4637565321	59.0362434679	2.26825637545	0.1	97.5	1
1	1	1	0.0238204386386	52.5238204386	2.71814221409	0.4	52.5	1
1	0	1	-7.84324888424	149.656751116	2.40141626558	0.4	157.5	2
1	1	2	-34.0650511771	63.4349488229	2.06832882958	0.4	97.5	2
1	0	1	-16.6888360774	170.811163923	2.56821476671	0.4	7.5	2
1	0	2	-2.20665240934	170.293347591	2.81797509933	-0.1	172.5	1
1	1	2	25.9682292589	138.468229259	2.21820185209	-0.1	112.5	2
1	1	2	6.38658176691	118.886581767	2.60133267709	0.1	112.5	2
1	0	1	4.63759477389	42.1375947739	2.66804940883	0.4	37.5	2
1	0	1	11.4246444161	108.924644416	2.75145513796	-0.1	97.5	2
1	1	2	8.46375653207	120.963756532	2.01842634371	0.4	112.5	2
1	0	1	9.9179707922	107.417970792	2.91791056958	0.4	97.5	2
1	0	2	-20.652389734	136.847610266	2.38481745245	0.1	157.5	1
1	0	1	-15.9590240815	21.5409759185	2.71813055709	0.1	37.5	2
1	0	1	-8.07254359681	164.427456403	1.88496551309	-0.1	172.5	2
1	0	1	-23.6691393279	133.830860672	2.83468990933	-0.1	157.5	2
1	1	1	6.55460409908	119.054604099	2.68466937671	0.4	112.5	1
1	1	2	20.4074086713	12.9074086713	2.20157709821	0.1	172.5	2
1	0	1	-9.34761026599	43.152389734	2.40190177271	0.1	52.5	2
1	0	-1	4.58916217383	42.0891621738	2.23486156096	0.1	37.5	2
1	1	1	14.7175942695	157.21759427	2.23494225858	0.4	142.5	1
1	1	2	-10.8664606634	41.6335393366	2.30149882521	-0.1	52.5	2
1	0	2	0.0946433685914	142.594643369	1.96827217183	0.4	142.5	1
1	0	1	-22.9441444331	44.5558555669	2.33486795633	0.4	67.5	2
